"","site","year","n","bm_s","bm_se","den_s","den_se"
"1","Bachelor's Beach","2015",5,141.145,36.4027891750374,5,1.23603308118261
"2","Bachelor's Beach","2017",7,261.738095238095,120.361695845932,3.21428571428571,0.898789813722708
"3","Bachelor's Beach","2019",10,53.2141666666667,19.9093822898547,0.833333333333333,0.277777777777778
"4","Windsock","2015",5,52.035,25.3747645582947,2.66666666666667,1
"5","Windsock","2017",7,147.891666666667,69.3166705786265,2.14285714285714,0.676933417033015
"6","Windsock","2019",9,202.555555555556,70.7645873779724,2.40740740740741,0.65799400016444
"7","18th Palm","2015",5,159.04,54.9338046349119,3.33333333333333,0.58925565098879
"8","18th Palm","2017",7,180.013095238095,40.6704652328008,2.26190476190476,0.238095238095238
"9","18th Palm","2019",9,112.049074074074,38.4664014962047,1.2962962962963,0.313996758478022
"10","Calabas","2015",5,280.281666666667,82.6093583866595,3.83333333333333,1.00692049779955
"11","Calabas","2017",5,522.603333333333,115.278998719773,3,0.5
"12","Calabas","2019",6,159.561111111111,62.2287226267187,1.80555555555556,0.397717251757677
"13","Front Porch","2015",5,301.171666666667,59.6563012178931,3.5,0.964653075232519
"14","Front Porch","2017",4,164.566666666667,66.7964196513611,1.45833333333333,0.524294058004913
"15","Front Porch","2019",10,107.310833333333,38.2208488337319,1.16666666666667,0.396746023807936
"16","Forest","2015",5,172.778333333333,35.9814810199481,3.33333333333333,0.912870929175277
"17","Forest","2017",7,273.417857142857,102.478280887542,2.5,0.575054632785295
"18","Forest","2019",4,230.779166666667,86.6329962305335,2.08333333333333,0.537914353639919
"19","Reef Scientifico","2015",5,270.508333333333,161.29367365065,2.66666666666667,1.47667042888911
"20","Reef Scientifico","2017",7,162.825,59.166755980259,1.54761904761905,0.461069445977073
"21","Reef Scientifico","2019",8,149.791666666667,41.3326333526079,1.45833333333333,0.409158544192486
"22","Barcadera","2015",5,163.625,66.4712999889593,2.5,0.697216688778396
"23","Barcadera","2017",7,236.714285714286,61.045885241147,2.85714285714286,0.599193209148472
"24","Barcadera","2019",4,225.110416666667,86.4768863209482,2.70833333333333,1.09581484986524
"25","Oil Slick Leap","2015",5,40.7716666666667,26.9852091174241,1.33333333333333,0.333333333333333
"26","Oil Slick Leap","2017",7,273.036904761905,62.7277363289229,2.73809523809524,0.807420236086341
"27","Oil Slick Leap","2019",11,73.3742424242424,24.5688937165007,1.28787878787879,0.378787878787879
"28","Karpata","2015",5,105.058333333333,21.6912408717334,2.66666666666667,0.666666666666667
"29","Karpata","2017",7,156.346428571429,41.3733894832394,2.73809523809524,0.622396315133259
"30","Karpata","2019",12,51.4527777777778,17.7798269021077,0.972222222222222,0.287091338406618
"31","No Dive Reserve","2015",5,255.276666666667,128.876936330965,3.5,0.666666666666667
"32","No Dive Reserve","2017",6,248.483333333333,35.0123362518815,2.77777777777778,0.555555555555556
"33","No Dive Reserve","2019",10,232.7775,61.3735861400851,2.08333333333333,0.485118033238138
